./map2.txt
0.392699,2.35619,3.14159,
0.405399,2.33411,3.12866,
0.418098,2.31203,3.11573,
0.430798,2.28994,3.10279,
0.443498,2.26786,3.08986,
0.456198,2.24577,3.07692,
0.468897,2.22369,3.06399,
0.481597,2.20161,3.05106,
0.494297,2.17952,3.03812,
0.506996,2.15744,3.02519,
0.519696,2.13535,3.01226,
0.532396,2.11327,2.99932,
0.545096,2.09119,2.98639,
0.557795,2.0691,2.97346,
0.570495,2.04702,2.96052,
0.583195,2.02493,2.94759,
0.595894,2.00285,2.93466,
0.608594,1.98077,2.92172,
0.621294,1.95868,2.90879,
0.633994,1.9366,2.89586,
0.646693,1.91451,2.88292,
0.692898,1.85806,2.81732,
0.739104,1.8016,2.75171,
0.785309,1.74515,2.6861,
0.831514,1.68869,2.6205,
0.877719,1.63224,2.55489,
0.923924,1.57578,2.48928,
0.970129,1.51932,2.42368,
1.01633,1.46287,2.35807,
1.06254,1.40641,2.29247,
1.10874,1.34996,2.22686,
1.15495,1.2935,2.16125,
1.20115,1.23704,2.09565,
1.24736,1.18059,2.03004,
1.29357,1.12413,1.96443,
1.33977,1.06768,1.89883,
1.38598,1.01122,1.83322,
1.43218,0.954766,1.76761,
1.47839,0.89831,1.70201,
1.52459,0.841854,1.6364,
1.5708,0.785398,1.5708,
