./map1.txt
1.5708,0.785398,1.5708,0.785398,1.5708,
1.53913,0.899132,1.54629,0.897788,1.54932,
1.50746,1.01287,1.52179,1.01018,1.52784,
1.47579,1.1266,1.49729,1.12257,1.50635,
1.44412,1.24034,1.47279,1.23496,1.48487,
1.41245,1.35407,1.44829,1.34735,1.46339,
1.35638,1.32894,1.46425,1.40857,1.47478,
1.30031,1.30381,1.48021,1.46979,1.48616,
1.24425,1.27868,1.49618,1.53101,1.49754,
1.18818,1.25355,1.51214,1.59223,1.50892,
1.13211,1.22841,1.52811,1.65345,1.5203,
1.22024,1.2152,1.76409,1.63273,1.71596,
1.30836,1.20198,2.00007,1.61201,1.91162,
1.39649,1.18877,2.23605,1.59129,2.10728,
1.48461,1.17555,2.47204,1.57058,2.30294,
1.57274,1.16233,2.70802,1.54986,2.4986,
1.5813,1.15756,2.74853,1.56585,2.53869,
1.58986,1.15279,2.78903,1.58184,2.57878,
1.59842,1.14802,2.82954,1.59783,2.61887,
1.60699,1.14326,2.87005,1.61382,2.65897,
1.61555,1.13849,2.91055,1.62981,2.69906,
1.59242,1.11068,2.97631,1.64128,2.74367,
1.5693,1.08287,3.04206,1.65274,2.78829,
1.54617,1.05506,3.10781,1.6642,2.8329,
1.52305,1.02725,3.17356,1.67567,2.87752,
1.49992,0.999442,3.23931,1.68713,2.92213,
1.46769,1.01642,3.2586,1.66731,2.96096,
1.43546,1.0334,3.2779,1.64748,2.99979,
1.40323,1.05038,3.29719,1.62765,3.03861,
1.371,1.06736,3.31649,1.60783,3.07744,
1.33878,1.08434,3.33578,1.588,3.11627,
1.36381,1.19842,3.33786,1.59517,3.16278,
1.38885,1.31251,3.33994,1.60234,3.20928,
1.41388,1.42659,3.34201,1.60951,3.25579,
1.43892,1.54067,3.34409,1.61668,3.3023,
1.46395,1.65476,3.34617,1.62385,3.34881,
1.43905,1.66616,3.36061,1.62687,3.42902,
1.41415,1.67756,3.37506,1.6299,3.50924,
1.38925,1.68896,3.3895,1.63292,3.58946,
1.36434,1.70037,3.40395,1.63595,3.66967,
1.33944,1.71177,3.41839,1.63897,3.74989,
1.34315,1.67131,3.43731,1.62229,3.78612,
1.34685,1.63085,3.45623,1.6056,3.82236,
1.35056,1.59039,3.47515,1.58891,3.8586,
1.35426,1.54994,3.49406,1.57222,3.89483,
1.35797,1.50948,3.51298,1.55554,3.93107,
1.33012,1.49297,3.53342,1.53609,3.97297,
1.30226,1.47646,3.55386,1.51663,4.01487,
1.27441,1.45995,3.57429,1.49718,4.05677,
1.24656,1.44344,3.59473,1.47773,4.09867,
1.21871,1.42693,3.61517,1.45828,4.14057,
1.2104,1.43054,3.62465,1.40742,4.16957,
1.2021,1.43415,3.63413,1.35656,4.19857,
1.1938,1.43776,3.64361,1.30569,4.22758,
1.1855,1.44138,3.65309,1.25483,4.25658,
1.17719,1.44499,3.66257,1.20397,4.28558,
1.18772,1.40597,3.60764,1.15679,4.33401,
1.19824,1.36696,3.55271,1.10961,4.38243,
1.20876,1.32794,3.49778,1.06243,4.43086,
1.21928,1.28892,3.44285,1.01525,4.47929,
1.2298,1.24991,3.38792,0.968071,4.52771,
1.17783,1.24642,3.43758,0.941272,4.58284,
1.12586,1.24293,3.48724,0.914472,4.63796,
1.07389,1.23944,3.5369,0.887672,4.69308,
1.02193,1.23595,3.58656,0.860872,4.7482,
0.96996,1.23246,3.63622,0.834073,4.80333,
0.973171,1.41338,3.65647,0.841857,4.81716,
0.976382,1.59431,3.67672,0.849641,4.831,
0.979592,1.77524,3.69697,0.857425,4.84484,
0.982803,1.95616,3.71722,0.86521,4.85867,
0.986014,2.13709,3.73747,0.872994,4.87251,
0.968145,2.16047,3.7271,1.04568,4.85899,
0.950276,2.18384,3.71673,1.21837,4.84546,
0.932407,2.20722,3.70636,1.39106,4.83193,
0.914539,2.2306,3.69599,1.56375,4.81841,
0.89667,2.25397,3.68563,1.73644,4.80488,
0.869832,2.2517,3.68685,1.78813,4.79068,
0.842995,2.24942,3.68808,1.83981,4.77648,
0.816157,2.24714,3.6893,1.8915,4.76227,
0.78932,2.24487,3.69053,1.94318,4.74807,
0.762482,2.24259,3.69176,1.99486,4.73386,
0.688525,2.26531,3.58172,2.16138,4.72957,
0.614569,2.28803,3.47169,2.32789,4.72527,
0.540612,2.31075,3.36166,2.49441,4.72098,
0.466656,2.33347,3.25163,2.66092,4.71668,
0.392699,2.35619,3.14159,2.82743,4.71239,
